grade,subject,topicId,topic,exerciseId,type,difficulty,question,answer,lp21,richType
"6","Medien & Informatik","feeds-algorithmen-6","Feeds & Algorithmen","mi6-feeds-algorithmen-6-mc1","multiple-choice","2","Warum sehen zwei Kinder nicht immer dieselben Suchergebnisse?","Systeme können Ergebnisse unterschiedlich sortieren","MI.1.2, MI.2.2, MI.2.3","false"
"6","Medien & Informatik","feeds-algorithmen-6","Feeds & Algorithmen","mi6-feeds-algorithmen-6-mc2","multiple-choice","1","Was ist ein Feed?","Eine laufende Auswahl von Beiträgen","MI.1.2, MI.2.2, MI.2.3","false"
"6","Medien & Informatik","feeds-algorithmen-6","Feeds & Algorithmen","mi6-feeds-algorithmen-6-mc3","multiple-choice","2","Was kann ein Empfehlungsalgorithmus tun?","Beiträge nach Signalen auswählen","MI.1.2, MI.2.2, MI.2.3","false"
"6","Medien & Informatik","feeds-algorithmen-6","Feeds & Algorithmen","mi6-feeds-algorithmen-6-mc4","multiple-choice","3","Was ist eine Filterblase?","Man sieht vor allem Ähnliches wie bisher","MI.1.2, MI.2.2, MI.2.3","false"
"6","Medien & Informatik","feeds-algorithmen-6","Feeds & Algorithmen","mi6-feeds-algorithmen-6-mc5","multiple-choice","2","Was hilft gegen einseitige Informationen?","Verschiedene Quellen bewusst vergleichen","MI.1.2, MI.2.2, MI.2.3","false"
"6","Medien & Informatik","feeds-algorithmen-6","Feeds & Algorithmen","mi6-feeds-algorithmen-6-mc6","multiple-choice","2","Warum ist die Überschrift allein zu wenig?","Sie zeigt oft nicht den ganzen Zusammenhang","MI.1.2, MI.2.2, MI.2.3","false"
"6","Medien & Informatik","feeds-algorithmen-6","Feeds & Algorithmen","mi6-feeds-algorithmen-6-mc7","multiple-choice","1","Was ist ein Like für ein Empfehlungssystem?","Ein Signal, dass ein Inhalt interessieren könnte","MI.1.2, MI.2.2, MI.2.3","false"
"6","Medien & Informatik","feeds-algorithmen-6","Feeds & Algorithmen","mi6-feeds-algorithmen-6-mc8","multiple-choice","1","Warum werden ähnliche Videos oft nacheinander gezeigt?","Das System nutzt frühere Nutzung als Hinweis","MI.1.2, MI.2.2, MI.2.3","false"
"6","Medien & Informatik","feeds-algorithmen-6","Feeds & Algorithmen","mi6-feeds-algorithmen-6-mc9","multiple-choice","1","Was ist eine gute erste Prüfung bei einem starken Beitrag?","Quelle und Datum anschauen","MI.1.2, MI.2.2, MI.2.3","false"
"6","Medien & Informatik","feeds-algorithmen-6","Feeds & Algorithmen","mi6-feeds-algorithmen-6-mc10","multiple-choice","3","Warum kann ein Feed deine Sicht enger machen?","Er zeigt oft mehr von dem, was du schon anschaust","MI.1.2, MI.2.2, MI.2.3","false"
"6","Medien & Informatik","feeds-algorithmen-6","Feeds & Algorithmen","mi6-feeds-algorithmen-6-mc11","multiple-choice","3","Was ist ein sinnvoller Umgang mit empfohlenen Beiträgen?","Bewusst auch andere Quellen suchen","MI.1.2, MI.2.2, MI.2.3","false"
"6","Medien & Informatik","feeds-algorithmen-6","Feeds & Algorithmen","mi6-feeds-algorithmen-6-fb1","fill-in-blank","1","Ein Feed zeigt eine Auswahl von ___.","Beiträgen","MI.1.2, MI.2.2, MI.2.3","false"
"6","Medien & Informatik","feeds-algorithmen-6","Feeds & Algorithmen","mi6-feeds-algorithmen-6-fb2","fill-in-blank","2","Ein Algorithmus kann Beiträge ___.","sortieren","MI.1.2, MI.2.2, MI.2.3","false"
"6","Medien & Informatik","feeds-algorithmen-6","Feeds & Algorithmen","mi6-feeds-algorithmen-6-fb3","fill-in-blank","3","Bei einer Filterblase sieht man oft ähnliche ___.","Inhalte","MI.1.2, MI.2.2, MI.2.3","false"
"6","Medien & Informatik","feeds-algorithmen-6","Feeds & Algorithmen","mi6-feeds-algorithmen-6-fb4","fill-in-blank","2","Gegen Einseitigkeit helfen verschiedene ___.","Quellen","MI.1.2, MI.2.2, MI.2.3","false"
"6","Medien & Informatik","feeds-algorithmen-6","Feeds & Algorithmen","mi6-feeds-algorithmen-6-fb5","fill-in-blank","2","Eine starke Behauptung braucht gute ___.","Belege","MI.1.2, MI.2.2, MI.2.3","false"
"6","Medien & Informatik","feeds-algorithmen-6","Feeds & Algorithmen","mi6-feeds-algorithmen-6-ma1","matching","2","Ordne Medienbegriffe.","richtig zugeordnet","MI.1.2, MI.2.2, MI.2.3","true"
"6","Medien & Informatik","feeds-algorithmen-6","Feeds & Algorithmen","mi6-feeds-algorithmen-6-me1","memory","2","Ordne Medienbegriffe.","alle Paare gefunden","MI.1.2, MI.2.2, MI.2.3","true"
"6","Medien & Informatik","feeds-algorithmen-6","Feeds & Algorithmen","mi6-feeds-algorithmen-6-ma2","matching","2","Ordne Handlung und Wirkung.","richtig zugeordnet","MI.1.2, MI.2.2, MI.2.3","true"
"6","Medien & Informatik","feeds-algorithmen-6","Feeds & Algorithmen","mi6-feeds-algorithmen-6-me2","memory","2","Ordne Handlung und Wirkung.","alle Paare gefunden","MI.1.2, MI.2.2, MI.2.3","true"
"6","Medien & Informatik","feeds-algorithmen-6","Feeds & Algorithmen","mi6-feeds-algorithmen-6-ma3","matching","3","Ordne Feed-Begriff und Bedeutung.","richtig zugeordnet","MI.1.2, MI.2.2, MI.2.3","true"
